ID,Field1,Field2,Field3,Field4
82,20ce00390bfd8efc8c65d1cdcc3fca7b,"{u'lat': 13.0134434, u'long': 77.6051898}",location_tracking,2017-09-01 00:07:04.000000
83,6f80a6c5f5c9a32ba09eb9ecc1901624,"{u'lat': 18.4685569, u'long': 73.7934028}",location_tracking,2017-09-01 00:07:12.000000
84,1799c8e1104c51dea21f2fcc3fe1688b,"{u'lat': 23.0118785, u'long': 72.6489656}",location_tracking,2017-09-01 00:07:29.000000
85,cffdd9ca9688eecd25109539e03a3cd9,{u'mme': False},decline_request,2017-09-01 00:07:34.000000
86,d3fb9bc0147278ac20a84d82d7355d2f,"{u'lat': 12.9012251, u'long': 77.589086}",location_tracking,2017-09-01 00:07:35.000000
87,e832f9c6e6c9c268fdc8622919540752,{u'mme': False},decline_request,2017-09-01 00:07:38.000000
88,6163637f8d3bf1809ed7b06da163945e,"{u'lat': 13.0276319, u'long': 80.221613}",location_tracking,2017-09-01 00:07:45.000000
89,7d51f6f5d38ed0ed3c78de88fcfbc766,"{u'lat': 28.433163, u'long': 77.0484296}",location_tracking,2017-09-01 00:07:49.000000
90,bb7209be9f650ab259a4e4bcc7be730a,"{u'lat': 17.4074017, u'long': 78.4857944}",location_tracking,2017-09-01 00:07:53.000000
91,162e7782610b8ad2a156e9a0c733f371,"{u'lat': 17.4957457, u'long': 78.4299422}",location_tracking,2017-09-01 00:08:02.000000
92,421fb73595f2646bce5fba6ab33fe1df,{u'mme': True},manual,2017-09-01 00:08:13.000000
93,876bbd32f4198f3a5e25f7cc65739499,"{u'lat': 12.8593674, u'long': 77.7063964}",location_tracking,2017-09-01 00:08:14.000000
94,421fb73595f2646bce5fba6ab33fe1df,{u'paf': False},manual,2017-09-01 00:08:17.000000
95,5778da0babffbfe99e00b1c6f3fab090,"{u'lat': 12.9973781, u'long': 77.6530755}",location_tracking,2017-09-01 00:08:26.000000
96,4a3808f1d7bc864f9658614e647ed874,{u'mme': False},decline_request,2017-09-01 00:08:37.000000
97,40c3892fc30836c0dcbc5baa0cb3b962,{u'mme': False},decline_request,2017-09-01 00:08:41.000000
98,a5a021d997269c4f1846903ff0f5d737,"{u'lat': 18.9810108, u'long': 72.8187476}",location_tracking,2017-09-01 00:08:58.000000
99,a460a2a66878a9b1fb377067486e3d89,"{u'lat': 28.4372541, u'long': 77.0845096}",location_tracking,2017-09-01 00:09:22.000000
100,830d4fceefd2709a468bba7b59e0827d,"{u'lat': 18.9925131, u'long': 72.8428704}",location_tracking,2017-09-01 00:09:24.000000
101,bf34a5a98580650cce34ca5acb226ef2,{u'mme': False},decline_request,2017-09-01 00:09:31.000000
102,e4ddee82d96c8b94f2b5d9777567f854,"{u'lat': 22.6068902, u'long': 88.2998603}",location_tracking,2017-09-01 00:09:32.000000
103,292647301c6bd985fdd3940620a7b5ce,"{u'lat': 12.909913, u'long': 77.6409047}",location_tracking,2017-09-01 00:09:33.000000
104,f39aa01938a5732a2465c2a7918b33cc,"{u'lat': 28.4661585, u'long': 77.058234}",location_tracking,2017-09-01 00:09:36.000000
105,87276efef515d9679ebfca6901f267c7,{u'mme': False},decline_request,2017-09-01 00:09:40.000000
106,99555d3faf0656a707bcf6fe347959b7,{u'mme': False},decline_request,2017-09-01 00:09:41.000000
107,87276efef515d9679ebfca6901f267c7,{u'mme': False},decline_request,2017-09-01 00:09:45.000000
108,7cec1313d5ea1945a618d663cc95f850,{u'mme': False},decline_request,2017-09-01 00:09:47.000000
109,bf34a5a98580650cce34ca5acb226ef2,{u'mme': False},decline_request,2017-09-01 00:09:50.000000
110,3d756b01a8ee4cde492244eb2edcfcd6,{u'mme': False},decline_request,2017-09-01 00:09:59.000000
111,22bcfbad976f6b4c422d5b259d85d8a0,"{u'lat': 13.0290868, u'long': 77.5006501}",location_tracking,2017-09-01 00:10:11.000000
112,0d7a9d9c00231885b413175980a9beca,"{u'lat': 12.9962838, u'long': 77.6523596}",location_tracking,2017-09-01 00:10:15.000000
113,fd385a93b517e41f5ae906be5213f0b0,"{u'lat': 18.5398284, u'long': 73.7821132}",location_tracking,2017-09-01 00:10:22.000000
114,b72c9eeb4c52a2bdb7c4a8fe09871ec8,"{u'lat': 19.0258816, u'long': 72.8727786}",location_tracking,2017-09-01 00:10:24.000000
115,389fd60a1ea7ba9892ebe76a80c88ec1,{u'mme': False},decline_request,2017-09-01 00:10:26.000000
116,a5a249562c51a94d5b0c51f905c889b3,"{u'lat': 17.3988262, u'long': 78.4167584}",location_tracking,2017-09-01 00:10:27.000000
117,389fd60a1ea7ba9892ebe76a80c88ec1,{u'mme': False},decline_request,2017-09-01 00:10:30.000000
118,389fd60a1ea7ba9892ebe76a80c88ec1,{u'mme': False},decline_request,2017-09-01 00:10:34.000000
119,9558d1fe57c86f063b1bc25d67949ac2,{u'mme': False},job_responded,2017-09-01 00:10:45.000000
120,db6956fb0905dcec0f30f4dd46f321ea,{u'mme': False},decline_request,2017-09-01 00:10:47.000000
121,f879e0821fa13c19d76c55dbb9142dd6,"{u'lat': 13.1058277, u'long': 80.1957011}",location_tracking,2017-09-01 00:10:48.000000
122,5fe6bdb1516ba891e1120e5710f99a0d,"{u'lat': 28.4755437, u'long': 77.3188962}",location_tracking,2017-09-01 00:10:51.000000
123,7cec1313d5ea1945a618d663cc95f850,{u'mme': False},decline_request,2017-09-01 00:11:13.000000
124,2227317ff9957c7619a380e2ceac54e8,"{u'lat': 28.414352, u'long': 77.0358844}",location_tracking,2017-09-01 00:11:18.000000
125,db55039a426625656e2c1df795f764ec,{u'mme': False},job_responded,2017-09-01 00:11:20.000000
126,7cec1313d5ea1945a618d663cc95f850,{u'mme': False},decline_request,2017-09-01 00:11:32.000000
127,03c04f81016045af2d53c51873623f4e,"{u'lat': 13.0396896, u'long': 80.1137198}",location_tracking,2017-09-01 00:11:43.000000
128,183545b71cd8355b7faa55a0405134b1,"{u'lat': 22.409119, u'long': 88.4382428}",location_tracking,2017-09-01 00:11:48.000000
129,5a4ee4e44c8f29971c4a4810a4758a45,"{u'lat': 12.8943439, u'long': 77.6275134}",location_tracking,2017-09-01 00:11:56.000000
130,d4f2125891440ad265950ba938400ca6,"{u'lat': 12.9302274, u'long': 77.6079655}",location_tracking,2017-09-01 00:12:11.000000
131,77af6d6d6db530c389ec1014d557a01e,{u'mme': False},decline_request,2017-09-01 00:12:23.000000
132,621c83e23d0494f2fe926233f397a545,"{u'lat': 22.6375765, u'long': 88.304035}",location_tracking,2017-09-01 00:12:32.000000
133,84887b879c04d7b0d44bd95e84ef1531,"{u'lat': 12.9769238, u'long': 80.2367948}",location_tracking,2017-09-01 00:12:42.000000
134,d6cc4c6e9da8664a8981d1d92cd88ce7,"{u'lat': 19.1582916, u'long': 72.8343285}",location_tracking,2017-09-01 00:12:49.000000
135,332b327a4b19b56d0ee85d7b4e929a6d,"{u'lat': 13.1443367, u'long': 80.1965787}",location_tracking,2017-09-01 00:12:59.000000
136,ef76e67d6420e76ac83bc8606580aabf,"{u'lat': 12.9077038, u'long': 77.5793964}",location_tracking,2017-09-01 00:13:02.000000
137,4a2835ac618637c6b409558c6a9d05d0,"{u'lat': 17.3833281, u'long': 78.408841}",location_tracking,2017-09-01 00:13:04.000000
138,5c09e265031d7e6386c8368775f786ef,"{u'lat': 28.4958051, u'long': 77.2283432}",location_tracking,2017-09-01 00:13:16.000000
139,7ed04a620b73b89596ba0eed8ee19122,"{u'lat': 13.0058567, u'long': 77.6137731}",location_tracking,2017-09-01 00:13:19.000000
140,dc8f1f664f3702eb2a2d231385e784e9,{u'mme': False},decline_request,2017-09-01 00:13:25.000000
141,0a2a2078e7496638b3a3a2bcb4352b2e,{u'mme': False},job_responded,2017-09-01 00:13:30.000000
142,eeb5988caf7b600a46c4fcfc87c379b4,"{u'lat': 19.073444, u'long': 73.0864096}",location_tracking,2017-09-01 00:13:35.000000
143,1e69d771dfffb679f3b2df0bd46a0a57,"{u'lat': 18.6742241, u'long': 73.7994373}",location_tracking,2017-09-01 00:13:37.000000
144,72da31acf3cb317a640309de031dba1d,{u'paf': False},manual,2017-09-01 00:13:43.000000
145,72da31acf3cb317a640309de031dba1d,{u'mme': True},manual,2017-09-01 00:13:45.000000
146,8e26cf1cfa720979762ec4de15b6a3cf,"{u'lat': 28.4109918, u'long': 77.0310787}",location_tracking,2017-09-01 00:13:51.000000
